StartDate,EndDate,Status,Progress,Duration ,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q48,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q83,Q85,Q86,Q87,Q88,Q88_2_TEXT,Q88_3_TEXT,Q88_4_TEXT,Q4,Q6,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,SC0
2022/10/26 13:15,2022/10/26 13:21,IP Address,100,392,TRUE,2022/10/26 13:21,R_2Xogu9KghanIeyY,anonymous,EN,0.800000012,"I consent, begin the study",3- Often,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,2- Sometimes,3- Often,1- Almost never,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Mild stress,Moderate stress,Mild stress,Mild stress,Severe stress,None,None,D,E- describes me very well,A- does not describe me well,A- does not describe me well,C,D,C,D,E- describes me very well,D,D,B,A- does not describe me well,A- does not describe me well,B,B,B,A- does not describe me well,D,D,E- describes me very well,E- describes me very well,C,B,D,D,B,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,124
2022/10/26 13:15,2022/10/26 13:27,IP Address,100,706,TRUE,2022/10/26 13:27,R_3D5DbKk3AwwhrFr,anonymous,EN,1,"I consent, begin the study",1- Almost never,2- Sometimes,3- Often,3- Often,4- Usually,1- Almost never,1- Almost never,1- Almost never,3- Often,3- Often,3- Often,3- Often,4- Usually,2- Sometimes,2- Sometimes,3- Often,4- Usually,3- Often,2- Sometimes,3- Often,Moderate stress,None,Mild stress,None,Severe stress,None,None,D,E- describes me very well,B,A- does not describe me well,E- describes me very well,E- describes me very well,B,D,D,D,E- describes me very well,A- does not describe me well,B,B,B,E- describes me very well,D,B,D,E- describes me very well,D,E- describes me very well,E- describes me very well,B,D,E- describes me very well,D,E- describes me very well,No,No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,"Yes, 20-30 hours a week",151
2022/10/26 13:15,2022/10/26 13:29,IP Address,100,815,TRUE,2022/10/26 13:29,R_27PXxuz5bVdnQPA,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,1- Almost never,3- Often,2- Sometimes,4- Usually,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,2- Sometimes,3- Often,Moderate stress,Moderate stress,Moderate stress,Mild stress,Mild Stress,None,Moderate stress,D,E- describes me very well,C,B,C,B,B,C,E- describes me very well,B,D,B,C,A- does not describe me well,B,C,C,B,D,C,C,C,C,B,C,D,B,C,"Yes, 1-2 times per week",No,"Yes, 3x per month or less",No,"Yes, 3x per month or less",Having a quick breakdown and then getting back to it,,,Current first year,20-24,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Straight or Heterosexual,Married,No,No,No,"Yes, 20-30 hours a week",130
2022/10/26 13:22,2022/10/26 13:29,IP Address,100,439,TRUE,2022/10/26 13:29,R_3G2OtRjVmWmC1q4,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,4- Usually,1- Almost never,3- Often,2- Sometimes,3- Often,1- Almost never,1- Almost never,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,Severe stress,Mild stress,None,Mild stress,Moderate stress,None,None,B,E- describes me very well,B,B,D,C,C,D,D,C,D,B,D,B,C,A- does not describe me well,C,A- does not describe me well,D,D,D,D,E- describes me very well,B,D,C,B,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less",Yoga,,,Current second year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",110
2022/10/26 13:19,2022/10/26 13:30,IP Address,100,631,TRUE,2022/10/26 13:30,R_2WPA4e21AzfsTbi,anonymous,EN,1,"I consent, begin the study",1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,1- Almost never,3- Often,3- Often,3- Often,4- Usually,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,Moderate stress,Mild stress,None,None,Mild Stress,Mild stress,Mild stress,E- describes me very well,D,C,B,E- describes me very well,B,C,B,C,C,D,A- does not describe me well,C,C,D,E- describes me very well,D,A- does not describe me well,D,D,C,D,E- describes me very well,B,B,E- describes me very well,A- does not describe me well,C,"Yes, 1-2 times per week",No,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",,At home spa treatment ,,Current first year,25-29,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",Hispanic or Latino,No,Female,Straight or Heterosexual,In a romantic relationship,Yes,Yes,Yes,No,122
2022/10/26 13:29,2022/10/26 13:35,IP Address,100,329,TRUE,2022/10/26 13:35,R_3mfa7MlfWld0ybb,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,4- Usually,4- Usually,2- Sometimes,4- Usually,1- Almost never,3- Often,2- Sometimes,1- Almost never,3- Often,4- Usually,2- Sometimes,4- Usually,1- Almost never,4- Usually,3- Often,3- Often,1- Almost never,3- Often,Mild stress,Mild stress,Moderate stress,Mild stress,Moderate stress,Mild stress,None,D,E- describes me very well,A- does not describe me well,A- does not describe me well,A- does not describe me well,C,C,D,D,B,D,A- does not describe me well,E- describes me very well,B,B,C,D,B,D,D,E- describes me very well,D,C,B,D,B,A- does not describe me well,B,"Yes, 3+ times per week","Yes, 1x per month or less","Yes, 3+ times per week",No,"Yes, 3+ times per week",,,"Cooking, music",Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",Asian,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,No,106
2022/10/26 13:29,2022/10/26 13:35,IP Address,100,364,TRUE,2022/10/26 13:35,R_25QuqqbOEnuVhOU,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,1- Almost never,4- Usually,3- Often,3- Often,1- Almost never,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Mild stress,Mild stress,Moderate stress,Moderate stress,Severe stress,None,None,C,D,B,B,E- describes me very well,D,D,D,E- describes me very well,D,D,B,C,B,B,A- does not describe me well,C,B,D,E- describes me very well,D,C,C,B,D,C,B,E- describes me very well,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",,,Reading,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,No,143
2022/10/26 13:32,2022/10/26 13:38,IP Address,100,380,TRUE,2022/10/26 13:38,R_1g2d6VCldbgoHYt,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,3- Often,4- Usually,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,3- Often,1- Almost never,3- Often,Mild stress,Severe stress,None,Mild stress,Severe stress,None,Mild stress,E- describes me very well,E- describes me very well,B,B,D,C,B,D,E- describes me very well,C,D,A- does not describe me well,D,B,B,E- describes me very well,C,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,E- describes me very well,A- does not describe me well,D,E- describes me very well,A- does not describe me well,D,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 3x per month or less",playing guitar or piano,,,Current second year,30-34,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Bisexual,In a romantic relationship,No,Yes,Yes,No,140
2022/10/26 13:36,2022/10/26 13:42,IP Address,100,359,TRUE,2022/10/26 13:42,R_1jwUOsnTs8kzhB7,anonymous,EN,1,"I consent, begin the study",1- Almost never,2- Sometimes,1- Almost never,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,3- Often,1- Almost never,4- Usually,Moderate stress,Severe stress,Mild stress,None,Severe stress,Mild stress,Mild stress,C,D,A- does not describe me well,C,D,B,B,C,E- describes me very well,E- describes me very well,E- describes me very well,B,A- does not describe me well,B,B,A- does not describe me well,B,A- does not describe me well,D,C,E- describes me very well,C,A- does not describe me well,A- does not describe me well,C,D,B,C,"Yes, 3x per month or less","Yes, 1x per month or less","Yes, 3x per month or less","Yes, 3+ times per week","Yes, 3+ times per week",,,"Netflix, taking a bath",Current second year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Married,No,Yes,No,No,125
2022/10/26 13:34,2022/10/26 13:44,IP Address,100,596,TRUE,2022/10/26 13:44,R_6DqPKlLvkCiMKid,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,1- Almost never,3- Often,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,3- Often,1- Almost never,4- Usually,Moderate stress,Moderate stress,None,Mild stress,Severe stress,None,None,D,D,B,B,E- describes me very well,E- describes me very well,B,E- describes me very well,E- describes me very well,D,D,B,B,B,C,B,D,A- does not describe me well,C,D,D,D,D,C,B,D,B,D,No,"Yes, 1+ times per week","Yes, 3x per month or less",No,No,,,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Bisexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",152
